Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"PIDILITIND","1,125.55","1,135.00","1,124.30","1,129.30","4.80","0.43","2.06","23.30","1,211.45","858.35","29.47","0.38"
"CUMMINSIND","732.15","737.70","723.75","733.50","3.10","0.42","3.67","26.89","884.20","613.20","-6.37","-8.44"
"ITC","293.00","294.90","291.10","293.15","1.15","0.39","89.24","261.65","322.95","252.50","13.25","5.56"
"DLF","175.35","178.30","175.15","176.00","0.65","0.37","20.74","36.71","229.70","142.00","-19.41","9.76"
"MINDTREE","921.95","933.20","914.40","924.80","3.10","0.34","8.00","73.84","1,183.80","744.65","13.17","3.06"
"KOTAKBANK","1,238.00","1,248.00","1,234.00","1,243.00","4.10","0.33","12.38","153.74","1,417.00","1,002.20","14.85","-2.85"
"NESTLEIND","10,099.35","10,295.00","10,031.65","10,124.95","29.80","0.30","0.71","72.40","11,751.00","7,566.00","31.32","-12.85"
"DRREDDY","2,628.00","2,656.00","2,617.00","2,621.85","6.80","0.26","9.04","238.20","2,878.00","1,872.95","22.32","-6.02"
"BALKRISIND","909.20","917.00","900.05","906.45","1.75","0.19","3.86","35.10","1,453.55","744.00","-11.37","15.28"
"HDFCBANK","2,132.00","2,143.70","2,122.20","2,130.90","2.70","0.13","15.44","329.38","2,220.00","1,832.00","15.01","0.39"
"TORNTPHARM","1,782.30","1,796.45","1,771.30","1,783.95","1.75","0.10","0.98","17.56","1,962.00","1,221.20","35.37","-0.81"
"PVR","1,542.40","1,559.80","1,537.55","1,542.50","0.10","0.01","1.81","27.99","1,665.00","1,062.80","18.19","-3.20"
"RPOWER","11.85","12.35","11.65","11.95","0.00","0.00","360.70","43.54","43.90","9.10","-70.09","-6.27"
"UBL","1,395.00","1,397.15","1,376.10","1,381.85","0.05","0.00","2.52","34.93","1,491.40","908.35","34.78","-1.43"
"NMDC","109.75","110.30","108.30","110.00","-0.05","-0.05","26.25","28.74","127.50","88.60","-11.33","15.67"
"RELCAPITAL","187.00","192.90","186.00","190.25","-0.30","-0.16","66.64","126.64","487.70","102.35","-54.78","32.03"
"CIPLA","542.00","542.00","535.50","539.05","-0.90","-0.17","14.71","79.32","678.45","483.75","-6.74","0.77"
